Equipment type,AREA,REGION,CLUSTER,IMG SubReg,agfa_wasquotedcreatedname,agfa_maintypecodename,FC category sort,IMG SubReg_1,agfa_weightedamountexcludingsma_base,destination
DR 400,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,83722.28,POLAND
DR 800,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,209318.29,POLAND
DR 100s,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,116100.0,GREECE
DR 800,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,96878.03,POLAND
DR 100s,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,12420.0,GREECE
DR 400,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,165330.0,GREECE
DR 100e,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,50146.600000000006,POLAND
DR 400,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,105910.72000000002,POLAND
DR 600,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,171621.0,GREECE
DR 100e,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,17988.3,SLOVENIA
DR 100s,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,65950.54000000001,POLAND
DR 600,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,162084.57,POLAND
DR 100e,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,158258.38,ITALY
DX-D 300,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,61920.0,GREECE
DR 800,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,241397.25,POLAND
DR 800,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,181130.38999999998,GREECE
