cr57c_accountid,cr57c_address2_country,cr57c_agfa_saprecordid
53321D91-22EB-ED11-8849-000D3A680C8A,United States of America,
3B2CDC82-21EB-ED11-8848-000D3AB11D4F,United States of America,
242CDC82-21EB-ED11-8848-000D3AB11D4F,United States of America,
A92CDC82-21EB-ED11-8848-000D3AB11D4F,United States of America,
A56D0493-22EB-ED11-8848-000D3AB11D4F,United States of America,
90655787-21EB-ED11-8849-0022489FD0DC,United States of America,
F2D4AF8F-22EB-ED11-8849-0022489FD0DC,United States of America,
E3D4AF8F-22EB-ED11-8849-0022489FD0DC,United States of America,
D7B50E85-21EB-ED11-8849-0022489FD80B,United States of America,
3EB60E85-21EB-ED11-8849-0022489FD80B,United States of America,
2A3E4092-22EB-ED11-8849-0022489FD9A7,United States of America,
C1926086-21EB-ED11-8849-0022489FD9DD,United States of America,
BB1B8080-21EB-ED11-8848-0022489FDB1D,United States of America,
353F5881-21EB-ED11-8849-0022489FDDCE,United States of America,
1165D58C-22EB-ED11-8849-0022489FDDEE,United States of America,
7010D092-22EB-ED11-8849-0022489FDDEE,United States of America,
001D7C82-21EB-ED11-8849-0022489FDE79,United States of America,
AB3DA075-92F0-F011-8406-7C1E52FCFEAE,United States of America,
6BB01FC4-21EB-ED11-8849-000D3A680C8A,United States of America,
6C501673-22EB-ED11-8849-000D3A680C8A,United States of America,
1BAA7DC7-21EB-ED11-8848-000D3AB11D4F,United States of America,
1BA8A671-22EB-ED11-8849-000D3ADA93B4,United States of America,
D82B01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
EC2B01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
580ED7C6-21EB-ED11-8849-0022489FD9A7,United States of America,
5649E9C7-21EB-ED11-8849-0022489FDDEE,United States of America,
7D1C576F-22EB-ED11-8849-0022489FDE79,United States of America,
B62D5475-22EB-ED11-8849-0022489FDE79,United States of America,
12A8A671-22EB-ED11-8849-000D3ADA93B4,United States of America,
6B58A072-22EB-ED11-8849-0022489FD093,United States of America,
850ED476-22EB-ED11-8849-0022489FD0DC,United States of America,
AE3064CD-21EB-ED11-8849-0022489FD623,United States of America,
AEDBBF6E-22EB-ED11-8849-0022489FD80B,United States of America,
97556872-22EB-ED11-8849-0022489FD9A7,United States of America,
FB48E9C7-21EB-ED11-8849-0022489FDDEE,United States of America,
516F9ECA-21EB-ED11-8849-0022489FDE79,United States of America,
FFC5A8C6-21EB-ED11-8849-000D3ADA93B4,United States of America,
38121671-22EB-ED11-8849-0022489D9FCF,United States of America,
47121671-22EB-ED11-8849-0022489D9FCF,United States of America,
55CE1DC9-21EB-ED11-8849-0022489FC0D4,United States of America,
6E8469C7-21EB-ED11-8849-0022489FD623,United States of America,
CC3064CD-21EB-ED11-8849-0022489FD623,United States of America,
8B8EBA74-22EB-ED11-8849-0022489FD80B,United States of America,
EA8EBA74-22EB-ED11-8849-0022489FD80B,United States of America,
165A1C75-22EB-ED11-8848-0022489FDB1D,United States of America,
5C1C576F-22EB-ED11-8849-0022489FDE79,United States of America,
80B01FC4-21EB-ED11-8849-000D3A680C8A,United States of America,
49CE1DC9-21EB-ED11-8849-0022489FC0D4,United States of America,
DF7CD971-22EB-ED11-8849-0022489FC0D4,United States of America,
9E003678-22EB-ED11-8849-0022489FC0D4,United States of America,
54A2E1CD-21EB-ED11-8849-0022489FDDEE,United States of America,
A04B9974-22EB-ED11-8849-0022489FDDEE,United States of America,
356F9ECA-21EB-ED11-8849-0022489FDE79,United States of America,
6C011E6D-22EB-ED11-8849-000D3A680C8A,United States of America,
F72B01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
F67CD971-22EB-ED11-8849-0022489FC0D4,United States of America,
B0E7F0C1-21EB-ED11-8849-0022489FD093,United States of America,
F6356B6C-22EB-ED11-8849-0022489FD9A7,United States of America,
4049E9C7-21EB-ED11-8849-0022489FDDEE,United States of America,
AC4B9974-22EB-ED11-8849-0022489FDDEE,United States of America,
232E5475-22EB-ED11-8849-0022489FDE79,United States of America,
57501673-22EB-ED11-8849-000D3A680C8A,United States of America,
918B6971-22EB-ED11-8848-000D3ABADD85,United States of America,
A0E6FBCA-21EB-ED11-8849-0022489D9FCF,United States of America,
1C8569C7-21EB-ED11-8849-0022489FD623,United States of America,
6F844574-22EB-ED11-8849-0022489FD623,United States of America,
27854574-22EB-ED11-8849-0022489FD623,United States of America,
07DCBF6E-22EB-ED11-8849-0022489FD80B,United States of America,
4DDCBF6E-22EB-ED11-8849-0022489FD80B,United States of America,
390ED7C6-21EB-ED11-8849-0022489FD9A7,United States of America,
934B9974-22EB-ED11-8849-0022489FDDEE,United States of America,
7B4B9974-22EB-ED11-8849-0022489FDDEE,United States of America,
152E5475-22EB-ED11-8849-0022489FDE79,United States of America,
AE7FF674-22EB-ED11-8848-000D3AB11D4F,United States of America,
662A01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
3F0ED7C6-21EB-ED11-8849-0022489FD9A7,United States of America,
61FDB0C2-21EB-ED11-8848-0022489FDB1D,United States of America,
3849E9C7-21EB-ED11-8849-0022489FDDEE,United States of America,
09B01FC4-21EB-ED11-8849-000D3A680C8A,United States of America,
5AFE17CA-21EB-ED11-8849-000D3A680C8A,United States of America,
7FFE17CA-21EB-ED11-8849-000D3A680C8A,United States of America,
BAFE17CA-21EB-ED11-8849-000D3A680C8A,United States of America,
1D7FF674-22EB-ED11-8848-000D3AB11D4F,United States of America,
39C6A8C6-21EB-ED11-8849-000D3ADA93B4,United States of America,
1D2B01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
E532E9C7-21EB-ED11-8849-0022489FD093,United States of America,
CBBB48D5-F7DE-EF11-8EEA-0022489FD5C9,United States of America,
D5D86EC1-21EB-ED11-8849-0022489FD623,United States of America,
3860CFC6-21EB-ED11-8849-0022489FD80B,United States of America,
225A1C75-22EB-ED11-8848-0022489FDB1D,United States of America,
1949E9C7-21EB-ED11-8849-0022489FDDEE,United States of America,
A27FF674-22EB-ED11-8848-000D3AB11D4F,United States of America,
D22B01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
15366B6C-22EB-ED11-8849-0022489FD9A7,United States of America,
DD1B576F-22EB-ED11-8849-0022489FDE79,United States of America,
101C576F-22EB-ED11-8849-0022489FDE79,United States of America,
C32D5475-22EB-ED11-8849-0022489FDE79,United States of America,
F22D5475-22EB-ED11-8849-0022489FDE79,United States of America,
0632E9C7-21EB-ED11-8849-0022489FD093,United States of America,
7158A072-22EB-ED11-8849-0022489FD093,United States of America,
378469C7-21EB-ED11-8849-0022489FD623,United States of America,
5F844574-22EB-ED11-8849-0022489FD623,United States of America,
1C1C576F-22EB-ED11-8849-0022489FDE79,United States of America,
27AA7DC7-21EB-ED11-8848-000D3AB11D4F,United States of America,
FE7EF674-22EB-ED11-8848-000D3AB11D4F,United States of America,
D2C5A8C6-21EB-ED11-8849-000D3ADA93B4,United States of America,
E3111671-22EB-ED11-8849-0022489D9FCF,United States of America,
A1FCD670-22EB-ED11-8849-0022489FD0DC,United States of America,
86BA48D5-F7DE-EF11-8EEA-0022489FD5C9,United States of America,
AF8469C7-21EB-ED11-8849-0022489FD623,United States of America,
628FBA74-22EB-ED11-8849-0022489FD80B,United States of America,
C982EEC1-21EB-ED11-8849-0022489FDDEE,United States of America,
CA2D5475-22EB-ED11-8849-0022489FDE79,United States of America,
B9AF1FC4-21EB-ED11-8849-000D3A680C8A,United States of America,
9EB01FC4-21EB-ED11-8849-000D3A680C8A,United States of America,
94FE17CA-21EB-ED11-8849-000D3A680C8A,United States of America,
C68B6971-22EB-ED11-8848-000D3ABADD85,United States of America,
BA2A01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
412C01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
2958A072-22EB-ED11-8849-0022489FD093,United States of America,
2660CFC6-21EB-ED11-8849-0022489FD80B,United States of America,
178FBA74-22EB-ED11-8849-0022489FD80B,United States of America,
21AA7DC7-21EB-ED11-8848-000D3AB11D4F,United States of America,
157FF674-22EB-ED11-8848-000D3AB11D4F,United States of America,
CCE6FBCA-21EB-ED11-8849-0022489D9FCF,United States of America,
A4003678-22EB-ED11-8849-0022489FC0D4,United States of America,
A831E9C7-21EB-ED11-8849-0022489FD093,United States of America,
D7E7F0C1-21EB-ED11-8849-0022489FD093,United States of America,
